property_id,address,latitude,longitude,pct_flooded,max_depth_ft,urban_flag,optical_available,optical_water_pct,wse_spread_ft,rel_elev_ft,dem_resolution_m,depth_lower_ft,depth_upper_ft,depth_ci_ft
HARV-00423,"8650 South Braeswood Boulevard, Houston, 77031",29.672334,-95.530038,0.0,0.0,1,1,0.0,0.0,24.523,1,0.0,0.0,0.0
HARV-00424,"8646 South Braeswood Boulevard, Houston, 77031",29.67243,-95.529619,0.0,0.0,1,1,0.0,0.0,23.95,1,0.0,0.0,0.0
HARV-00425,"8023 South Braeswood Boulevard, Houston",29.671474,-95.520323,0.0,0.0,1,1,0.0,0.0,25.782,1,0.0,0.0,0.0
HARV-00426,"6131 South Braeswood Boulevard, Houston, TX",29.677132,-95.499022,0.0,0.0,1,1,0.0,0.0,25.303,1,0.0,0.0,0.0
HARV-00427,"10330 Hillcroft Avenue, Houston, 77096",29.668609,-95.494884,0.0,0.0,1,1,0.0,0.0,2.46,1,0.0,0.0,0.0
HARV-00428,"174 Yale Street, Houston, TX, 77007",29.77348,-95.398255,0.0,0.0,1,1,0.0,0.0,40.386,1,0.0,0.0,0.0
HARV-00429,174 Yale Street,29.773652,-95.398256,0.0,0.0,1,1,0.0,0.0,40.161,1,0.0,0.0,0.0
HARV-00430,"1119 Mulberry Lane, Bellaire",29.720255,-95.449925,0.0,0.0,1,1,0.0,0.0,1.256,1,0.0,0.0,0.0
HARV-00431,"4440 Vivian Street, Bellaire, 77401",29.696512,-95.451025,0.0,0.0,1,1,0.0,0.0,3.004,1,0.0,0.0,0.0
HARV-00432,"4439 Mildred Street, Bellaire, 77401",29.696814,-95.45105,0.0,0.0,1,1,0.0,0.0,2.942,1,0.0,0.0,0.0
HARV-00433,"5212 Grand Lake Street, Bellaire",29.699502,-95.471829,0.0,0.0,1,1,0.0,0.0,1.674,1,0.0,0.0,0.0
HARV-00434,"7305 South Rice Avenue, Bellaire",29.700179,-95.467546,0.0,0.0,1,1,0.0,0.0,1.537,1,0.0,0.0,0.0
HARV-00435,"5101 Pocahontas Street, Bellaire",29.696762,-95.468099,0.0,0.0,1,1,0.0,0.0,1.863,1,0.0,0.0,0.0
HARV-00436,"8919 Manhattan Drive, Houston, TX, 77096",29.680769,-95.472911,0.0,0.0,1,1,0.0,0.0,10.702,1,0.0,0.0,0.0
